CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2023,OUD_Deaths2023,OUDCases_2023,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily _Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYrs,MedianHHIncome,PovertyPct,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,Category name,Category description,Urban_Rural,Metro_NonMetro,HHMI_State,HHMI_Quartile,PovertyRate_State,PovertyRate_Quartile,HHMI_quartileProse
51001,1,us-va-001,Accomack County                                   ,"33,288",13,869,"$14,294,892.00","$5,427,202.00","$132,965.00","$19,855,060.00",$596.00,"$132,052.00","$776,197.00","$60,675.00","$4,378,883.00","$5,347,807.00",$161.00,"$210,135.00",$6.00,"$919,231.00","$1,076,979.00"," $	1,996,210 ",$66.00,"$27,409,212.00",$823.00,"$15,830,791.00","$8,324,831.00","$3,253,590.00",47.1,50601,16.91,Eastern Shore,Eastern,Eastern Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,HIGHER,4th Quartile,lower than 50% of Virginia’s localities
51003,3,us-va-003,Albemarle County                                  ,"115,857",15,"1,003","$19,145,168.00","$7,268,659.00","$354,403.00","$26,768,229.00",$231.00,"$464,357.00","$2,729,468.00","$213,363.00","$7,877,343.00","$11,284,531.00",$97.00,"$482,532.00",$4.00,"$5,059,990.00","$1,242,668.00"," $	6,302,658 ",$59.00,"$44,837,949.00",$387.00,"$22,461,780.00","$16,522,086.00","$5,854,083.00",39.3,90568,6.88,Blue Ridge,Northwest,Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51005,5,us-va-005,Alleghany County                                  ,"14,698",5,334,"$6,332,243.00","$2,404,101.00","$374,342.00","$9,110,687.00",$620.00,"$64,453.00","$378,853.00","$29,615.00","$1,807,901.00","$2,280,822.00",$155.00,"$513,663.00",$35.00,"$1,703,530.00","$414,223.00"," $	2,117,753 ",$179.00,"$14,022,925.00",$954.00,"$7,237,003.00","$4,794,660.00","$1,991,261.00",48.0,49705,13.96,Alleghany,Southwest,Valley Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,HIGHER,3rd Quartile,lower than 50% of Virginia’s localities
51007,7,us-va-007,Amelia County                                     ,"13,596",2,134,"$2,722,367.00","$1,033,574.00","$18,288.00","$3,774,230.00",$278.00,"$15,355.00","$90,255.00","$7,055.00","$628,759.00","$741,424.00",$55.00,"$23,348.00",$2.00,"$590,332.00","$165,689.00"," $	756,021 ",$57.00,"$5,295,023.00",$389.00,"$2,935,551.00","$1,745,759.00","$613,713.00",45.0,57420,11.12,Piedmont,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan,LOWER,2nd Quartile,HIGHER,2nd Quartile,lower than 50% of Virginia’s localities
51009,9,us-va-009,Amherst County                                    ,"31,559",6,401,"$7,354,904.00","$2,792,364.00","$208,616.00","$10,355,884.00",$328.00,"$193,472.00","$1,137,218.00","$88,896.00","$3,220,917.00","$4,640,504.00",$147.00,"$295,745.00",$9.00,"$1,990,263.00","$497,067.00"," $	2,487,330 ",$88.00,"$17,779,462.00",$563.00,"$8,768,302.00","$6,594,487.00","$2,416,674.00",44.9,60876,11.28,Central Virginia,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,3rd Quartile,HIGHER,2nd Quartile,higher than 50% of Virginia’s localities
51011,11,us-va-011,Appomattox County                                 ,"16,835",1,67,"$1,244,437.00","$472,463.00","$83,599.00","$1,800,500.00",$107.00,"$73,704.00","$433,226.00","$33,865.00","$912,187.00","$1,452,982.00",$86.00,"$116,742.00",$7.00,"$1,433,664.00","$82,845.00"," $	1,516,508 ",$97.00,"$4,886,732.00",$290.00,"$1,704,687.00","$2,376,785.00","$805,260.00",42.6,55268,13.3,Central Virginia,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,2nd Quartile,HIGHER,3rd Quartile,lower than 50% of Virginia’s localities
51013,13,us-va-013,Arlington County                                  ,"235,181",32,"2,073","$33,222,938.00","$12,613,428.00","$1,358,314.00","$47,194,680.00",$201.00,"$362,376.00","$2,130,028.00","$166,505.00","$10,871,861.00","$13,530,769.00",$58.00,"$2,202,524.00",$9.00,"$6,540,037.00","$2,568,180.00"," $	9,108,217 ",$48.00,"$72,036,190.00",$306.00,"$37,928,140.00","$23,986,669.00","$10,121,381.00",35.1,128145,6.46,Arlington,Northern,Northern Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan,HIGHER,4th Quartile,LOWER,1st Quartile,higher than 75% of Virginia’s localities
51015,15,us-va-015,Augusta County                                    ,"78,250",7,468,"$9,176,751.00","$3,484,047.00","$1,003,979.00","$13,664,777.00",$175.00,"$305,882.00","$1,797,960.00","$140,547.00","$4,483,558.00","$6,727,947.00",$86.00,"$1,330,854.00",$17.00,"$6,194,271.00","$579,912.00"," $	6,774,183 ",$104.00,"$28,497,761.00",$364.00,"$11,779,580.00","$12,008,417.00","$4,709,764.00",45.1,69082,8.37,Central Shenandoah,Northwest,Valley Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan,LOWER,3rd Quartile,LOWER,2nd Quartile,higher than 50% of Virginia’s localities
51017,17,us-va-017,Bath County                                       ,"4,070",3,201,"$3,399,814.00","$1,290,774.00","$91,357.00","$4,781,946.00","$1,175.00","$21,497.00","$126,358.00","$9,877.00","$929,235.00","$1,086,967.00",$267.00,"$140,090.00",$34.00,"$210,833.00","$248,534.00"," $	459,366 ",$147.00,"$6,468,369.00","$1,589.00","$3,761,814.00","$1,898,314.00","$808,240.00",50.9,55807,19.18,Central Shenandoah,Northwest,Valley Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan,LOWER,2nd Quartile,HIGHER,4th Quartile,lower than 50% of Virginia’s localities
51019,19,us-va-019,Bedford County                                    ,"81,628",16,"1,070","$20,482,182.00","$7,776,270.00","$831,308.00","$29,089,759.00",$356.00,"$205,756.00","$1,209,423.00","$94,541.00","$5,780,804.00","$7,290,523.00",$89.00,"$1,128,502.00",$14.00,"$4,414,841.00","$1,325,512.00"," $	5,740,354 ",$84.00,"$43,249,138.00",$530.00,"$23,086,880.00","$14,414,657.00","$5,747,601.00",46.7,70870,8.76,Central Virginia,Southwest,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan,LOWER,3rd Quartile,LOWER,2nd Quartile,higher than 50% of Virginia’s localities
