CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51999,999,us-va-999,Virginia,8811195,1087.32,99373.3029173265,1052184845.1713,466888510.6587,81818359.594,1600891715.424,181.6884,22453663.7318,164871033.5698,11755908.2237,592101384.4729,791181989.9981,89.7928,175442851.2834,19.9114,294380932.6923,126412126.2998,420793058.9921,47.7566,2988309615.6976,339.1492,1380341122.5396,1081923781.6646,526044711.4934,39,93170,9.3,22.5,9.5,,,,,,,
51760,760,us-va-760,Richmond City,233655,108.12,9106.17358407808,88717456.3169,39132563.473,1166055.8492,129016075.6391,552.1648,1884662.8453,13838557.2593,986739.7903,54280702.9079,70990662.8028,303.8269,2740899.8365,11.7305,7567113.959,11567041.4139,19134155.3729,81.8906,221881793.6512,949.6129,112713540.2965,76682394.9133,32485858.4414,34.7,64587,16.2,26.7,11.3,Richmond City,Central,Central Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan
51810,810,us-va-810,Virginia Beach City,454808,53.04,4447.20105268929,54505484.9139,23607810.0702,3471585.5487,81584880.5328,179.3831,924008.3116,6784737.1007,483776.5916,26595076.9281,34787598.9321,76.4885,6605947.5321,14.5247,13468530.5537,5649020.2254,19117550.7791,42.0343,142095977.7761,312.4307,68757185.8355,50271184.9443,23067606.9963,37.9,92968,8.1,24.6,8.9,Virginia Beach,Eastern,Hampton Roads Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan
51550,550,us-va-550,Chesapeake City,254997,32.64,2682.43873019354,34652026.086,14510098.6568,2509410.4847,51671535.2275,202.6359,636073.7103,4670513.075,333024.6792,16973369.3164,22612980.7809,88.6794,4686054.5591,18.3769,7818833.1502,3407345.5328,11226178.683,44.0247,90196749.2505,353.7169,43720630.2338,31669511.3433,14806607.6734,37.9,95373,8.2,28.3,8.1,Chesapeake,Eastern,Hampton Roads Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan
51047,47,us-va-047,Culpeper County,56125,8.16,705.9049289983,9026662.141,3861842.633,690918.7464,13579423.5204,241.9496,112556.2533,826469.3919,58930.293,3822200.1295,4820156.0677,85.8825,1275718.3571,22.7299,1560037.4568,896669.877,2456707.3339,43.7721,22132005.279,394.3342,11186998.8469,7311107.2935,3633899.1386,39.1,100049,6.7,16,14.9,Rappahannock/Rapidan,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51087,87,us-va-087,Henrico County,338696,51,4235.4295739898,51563238.3085,22103571.5877,3634774.1368,77301584.033,228.2329,1211942.913,8898961.1265,634528.504,28788409.3597,39533841.9032,116.7237,7035397.2761,20.772,10186858.1345,5380019.2623,15566877.3968,45.9612,139437700.6091,411.6898,66943769.8439,49443324.7948,23050605.9704,39.4,88783,7.8,23.2,8.6,Henrico,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51740,740,us-va-740,Portsmouth City,96482,40.8,2964.80070179286,33963748.0015,11567508.6324,482988.4734,46014245.1073,476.9205,950184.1845,6976939.2849,497481.3109,22247599.3752,30672204.1555,317.906,1250456.6074,12.9605,4182889.2767,3766013.4836,7948902.7603,82.3874,85885808.6306,890.1744,41659640.6121,31516498.4332,12709669.5853,35.9,60491,14.8,26.7,9.9,Portsmouth,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51630,630,us-va-630,Fredericksburg City,29992,4.08,282.36197159932,3808576.6795,1392983.0753,900636.8952,6102196.6501,203.4608,73292.444,538166.1156,38373.2141,1985379.9234,2635211.6971,87.8638,1844107.7241,61.4867,1466808.1267,358667.9508,1825476.0776,60.8654,12406992.1489,413.6767,5204332.7187,4375857.2038,2826802.2263,32.1,86071,11.2,24,10.8,Rappahannock,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51107,107,us-va-107,Loudoun County,443380,16.32,1270.62887219694,18823395.459,8118282.5403,1821535.056,28763213.0554,64.8726,397873.2673,2921473.1992,208311.7335,9196554.4814,12724212.6814,28.6982,2879839.4595,6.4952,10718265.316,1614005.7787,12332271.0947,27.8142,56699536.291,127.8802,24403306.3773,22720083.7157,9576146.198,38.2,181765,3.9,21.3,6.7,Loudoun,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51013,13,us-va-013,Arlington County,239807,12.24,1200.03837929711,10291512.8758,5816664.5699,1254603.44,17362780.8858,72.4031,303640.1251,2229545.3362,158974.744,7292888.5065,9985048.7118,41.6379,2614591.0882,10.9029,4990876.8042,1524338.791,6515215.5951,27.1686,36477636.281,152.1125,15382467.9441,14091971.7036,7003196.6333,35.5,142114,6.7,19,6.5,Arlington,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51059,59,us-va-059,Fairfax County,1160925,56.1,5929.60140358572,54402826.7371,30663841.0718,6039558.2658,91106226.0747,78.4773,1635298.8481,12007546.4968,856182.0203,36485773.8399,50984801.205,43.9174,11797237.0841,10.1619,27058259.2365,7532026.9672,34590286.2037,29.7955,188478550.5675,162.352,80263805.8173,73412943.0276,34801801.7226,39.1,153637,5.7,20.5,9.3,Fairfax,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51183,183,us-va-183,Sussex County,10753,2.04,141.18098579966,1754138.1905,456443.3181,20213.3312,2230794.8398,207.4579,83762.7931,615046.9893,43855.1018,1469382.4351,2212047.3193,205.7144,63154.3741,5.8732,285903.2789,179333.9754,465237.2544,43.2658,4971233.7876,462.3113,2215785.1503,2000559.8983,754888.7391,40.8,63530,9.8,22,11.2,Crater,Central,Southside Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51043,43,us-va-043,Clarke County,15598,0,70.5904928998301,0,423863.5491,37541.1096,461404.6587,29.581,26175.8729,192202.1842,13704.7193,362688.2419,594771.0182,38.1312,63154.3741,4.0489,422639.6297,89666.9877,512306.6174,32.8444,1631636.6684,104.6055,498402.5999,794430.7678,338803.3008,48.4,117111,7.3,38.6,7.8,Lord Fairfax,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51730,730,us-va-730,Petersburg City,34058,12.24,1058.85739349745,9421210.835,3859703.788,369197.5122,13650112.1352,400.7902,211761.4247,1554905.4883,110870.4532,6167605.9745,8045143.3408,236.2189,1023100.8606,30.04,1485453.9928,1345004.8156,2830458.8083,83.107,25548815.1449,750.1561,12099549.0874,9104864.8882,4344401.1694,35.8,50698,19.9,26.8,9.6,Crater,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51127,127,us-va-127,New Kent County,27218,1.02,70.5904928998301,1050413.5687,368860.0045,307093.3804,1726366.9536,63.4274,39263.8093,288303.2762,20557.079,708208.3024,1056332.4668,38.8101,593651.1167,21.811,932293.3009,89666.9877,1021960.2886,37.5472,4398310.8258,161.5957,1560544.7298,1830901.2705,1006864.8255,42.9,123314,4.4,18.6,5.2,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51085,85,us-va-085,Hanover County,115309,14.28,1058.85739349745,16820249.2809,6312455.5501,1334354.2242,24467059.0553,212.1869,212024.5701,1556837.6917,111008.2264,6596479.2639,8476349.7521,73.5099,2260926.5932,19.6075,2597990.6652,1345004.8156,3942995.4807,34.195,39147330.8813,339.4994,20097819.3764,12838475.9113,6211035.5935,42.7,112805,5,19.9,5.6,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51181,181,us-va-181,Surry County,6579,0,13.1149452086734,0,62983.6603,6005.0781,68988.7384,10.4862,7852.7619,57660.6552,4111.4158,97629.8993,167254.7322,25.4225,12630.8748,1.9199,133628.7065,16659.1503,150287.8568,22.8436,399162.2022,60.6722,96004.1428,219309.4192,83848.6402,50.4,78041,9.2,19,4.9,Crater,Central,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51093,93,us-va-093,Isle of Wight County,40942,3.06,423.54295739898,3311516.9186,2161735.9609,178698.3153,5651951.1948,138.0478,62822.0948,461285.242,32891.3263,1862060.9582,2419059.6214,59.085,353664.495,8.6382,870140.4142,538001.9262,1408142.3404,34.3936,9832817.6516,240.1646,4761746.4368,3442613.0396,1628458.1752,43.8,95241,7,22.9,7.2,Western Tidewater,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
