CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51999,999,us-va-999,Virginia,8811195,1087.32,99373.30292,709075172.9,466888510.7,81818359.59,1257782043,142.7481792,22453663.73,164871033.6,11755908.22,592101384.5,791181990,89.79281357,175442851.3,19.91135723,294380932.7,126412126.3,420793059,47.75663902,2645199943,300.2089891,1131929720,1006096544,507173679.5,39,93170,9.3,22.5,9.5,,,,,,,
51840,840,us-va-840,Winchester City,27800,0,108.1063662,0,451010.1795,552965.6883,1003975.868,36.11423985,64730.23986,475296.2223,33890.36053,804762.3137,1378679.136,49.59277469,1338872.731,48.16088961,2535837.778,321334.282,2857172.06,102.7759734,6578699.796,236.6438775,1157927.907,3286774.737,2133997.152,36.8,63974,20.3,25.1,17,Lord Fairfax,Northwestern,Valley Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan
51830,830,us-va-830,Williamsburg City,16030,0,0,0,0,227801.5566,227801.5566,14.21095175,0,0,0,0,0,0,644174.6159,40.18556556,320087.3666,0,320087.3666,19.96802038,1192063.539,74.36453769,190367.2245,419492.6816,582203.633,23.7,75604,24.4,42.6,7.8,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51820,820,us-va-820,Waynesboro City,23498,3.06,423.5429574,1987332.595,2002600.075,396121.8607,4386054.531,186.656504,59362.86445,435885.0713,31080.2012,1827062.887,2353391.024,100.1528226,846268.6131,36.01449541,1628405.632,538001.9262,2166407.558,92.1954021,9752121.727,415.0192241,3848500.483,3812371.517,2091249.727,38.3,59994,10.8,21,13.3,Central Shenandoah,Northwestern,Valley Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan
51810,810,us-va-810,Virginia Beach City,454808,53.04,4447.201053,38674509.99,23607810.07,3471585.549,65753905.61,144.5750858,924008.3116,6784737.101,483776.5916,26595076.93,34787598.93,76.48853787,6605947.532,14.52469511,13468530.55,5649020.225,19117550.78,42.03433268,126265002.9,277.6226514,57295559.99,46772539.49,22196903.38,37.9,92968,8.1,24.6,8.9,Virginia Beach,Eastern,Hampton Roads Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan
51800,800,us-va-800,Suffolk City,103105,10.2,1058.857393,7580152.299,5728789.535,805062.5038,14114004.34,136.8896206,290552.1886,2133444.244,152122.3843,6538544.782,9114663.599,88.4017613,1503074.104,14.5780913,2663251.196,1345004.816,4008256.012,38.87547657,28739998.05,278.7449498,12745949.89,10822432.17,5171616,38.7,92666,8,27.7,8.8,Western Tidewater,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51790,790,us-va-790,Staunton City,26361,1.02,282.3619716,533619.2067,1075437.364,476251.2841,2085307.855,79.10579472,66595.64515,488993.3767,34867.01778,1278309.949,1868765.988,70.89131628,1263087.482,47.91500634,1951600.643,358667.9508,2310268.594,87.63964167,7527429.919,285.551759,2068540.498,3333386.755,2125502.666,39.9,65581,13.2,21.7,9.7,Central Shenandoah,Northwestern,Valley Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan
51775,775,us-va-775,Salem City,25908,5.1,352.9524645,2930588.649,1476551.299,423715.7275,4830855.676,186.4619297,151177.5077,1110054.566,79150.95402,3084331.033,4424714.061,170.7856284,1023100.861,39.48976612,90121.68575,448334.9385,538456.6243,20.78341147,10817127.22,417.5207357,4731808.838,3881462.742,2203855.642,40,66725,8.4,21.5,6.7,Alleghany,Southwestern,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan
51770,770,us-va-770,Roanoke City,97912,47.94,4094.248588,26828853.68,16681147.76,1166660.376,44676661.82,456.2940377,571332.8752,4195139.055,299128.7714,21472130.95,26537731.65,271.0365599,2892470.334,29.5415305,9350901.808,5200685.287,14551587.09,148.6190364,88658450.9,905.4911645,39654257.96,33492682.48,15511510.45,38.3,55378,17,19.9,13.9,Roanoke City,Southwestern,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan
51760,760,us-va-760,Richmond City,233655,108.12,9106.173584,63820584.37,39132563.47,1166055.849,104119203.7,445.6108523,1884662.845,13838557.26,986739.7903,54280702.91,70990662.8,303.8268507,2740899.836,11.73054219,7567113.959,11567041.41,19134155.37,81.89063094,196984921.7,843.0588761,94688205.01,71180186.21,31116530.48,34.7,64587,16.2,26.7,11.3,Richmond City,Central,Central Region,Large central metro,NCHS-defined “central” counties of MSAs of 1 million or more population,Urban,Metropolitan
